date,open,close,high,low,volume,money,change,adjclose,symbol
2019-11-29,5130.28,5126.61,5137.29,5082.77,80181681.0,75244011520.0,1.06,5126.61,sh000852
2019-12-02,5131.89,5137.78,5156.87,5124.55,81777518.0,78466523136.0,0.63,5137.78,sh000852
2019-12-03,5119.75,5171.36,5171.36,5097.08,85738552.0,82771877888.0,1.45,5171.36,sh000852
2019-12-04,5148.41,5179.69,5188.36,5140.39,87626419.0,85034983424.0,0.93,5179.69,sh000852
2019-12-05,5190.08,5238.13,5246.03,5187.91,99451044.0,100036169728.0,1.12,5238.13,sh000852
2019-12-06,5241.09,5275.51,5275.51,5226.26,100390620.0,99234951168.0,0.94,5275.51,sh000852
2019-12-09,5286.2,5294.28,5302.29,5269.18,112320678.0,109703720960.0,0.63,5294.28,sh000852
2019-12-10,5286.04,5326.36,5326.36,5272.2,118208312.0,111390093312.0,1.02,5326.36,sh000852
2019-12-11,5323.86,5304.88,5333.32,5291.25,121161810.0,113801506816.0,0.79,5304.88,sh000852
2019-12-12,5302.72,5304.42,5334.26,5292.47,119402445.0,115509395456.0,0.79,5304.42,sh000852
2019-12-13,5334.58,5375.98,5379.29,5327.12,122084849.0,123138289664.0,0.98,5375.98,sh000852
2019-12-16,5391.47,5476.99,5476.99,5387.55,146872458.0,150423035904.0,1.66,5476.99,sh000852
2019-12-17,5479.9,5545.62,5555.25,5475.43,177542420.0,175006040064.0,1.46,5545.62,sh000852
2019-12-18,5546.28,5543.79,5575.65,5529.82,165702454.0,164407451648.0,0.83,5543.79,sh000852
2019-12-19,5544.66,5568.11,5579.82,5534.51,154136494.0,148945727488.0,0.82,5568.11,sh000852
2019-12-20,5571.63,5501.16,5580.34,5501.16,149777344.0,141949915136.0,1.42,5501.16,sh000852
2019-12-23,5478.57,5377.09,5485.78,5375.02,132183580.0,127150120960.0,2.01,5377.09,sh000852
2019-12-24,5388.21,5471.74,5471.74,5386.97,112811727.0,112384442368.0,1.58,5471.74,sh000852
2019-12-25,5467.75,5504.42,5517.2,5461.38,124681636.0,130934366208.0,1.02,5504.42,sh000852
2019-12-26,5503.3,5543.66,5543.7,5497.9,124445645.0,128982589440.0,0.83,5543.66,sh000852
2019-12-27,5548.35,5498.93,5576.26,5494.97,155515738.0,155240022016.0,1.47,5498.93,sh000852
